REF	ETUD	LOCA	REG	DPT	COM	INSEE	TICO	ADRS	STAT	AFFE	PPRO	DPRO	AUTR	SCLE	
PA00079300	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Laferté-sur-Aube	Champagne-Ardenne	52	Laferté-sur-Aube	52258	Eglise Sainte-Marie-Madeleine		Propriété de la commune		Eglise Sainte-Marie-Madeleine (cad. C 774) : inscription par arrêté du 19 novembre 1990	1990/11/19 : inscrit MH	LANCRET François-Nicolas (architecte) ; CLACHELEUX (maître de l'oeuvre)	2e moitié 18e siècle ; 2e quart 19e siècle	
PA00079299	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Faverolles	Champagne-Ardenne	52	Faverolles	52196	Site archéologique de Faverolles		propriété de la commune		Le site archéologique comprenant les vestiges du mausolée, le tronçon de voie romaine et la source (cad. A 870, 1033, 1035, 1037) : inscription par arrêté du 6 juin 1990	1990/06/06 : inscrit MH		Gallo-romain	
PA00079298	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Doulaincourt-Saucourt	Champagne-Ardenne	52	Doulaincourt-Saucourt	52177	Eglise Saint-Martin		Propriété de la commune		Eglise Saint-Martin (cad. E 166) : inscription par arrêté du 19 novembre 1990	1990/11/19 : inscrit MH		2e quart 18e siècle	
PA00079297	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Cohons	Champagne-Ardenne	52	Cohons	52134	Parcelle D 201 avec ses vestiges préhistoriques		Propriété d'une personne privée		Parcelle D 201 avec ses vestiges préhistoriques : inscription par arrêté du 9 mars 1990	1990/03/09 : inscrit MH		Néolithique moyen ; Néolithique récent ; Age du bronze final	
PA00079296	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Saint-Martin-lès-Langres	Champagne-Ardenne	52	Saint-Martin-lès-Langres	52452	Château de Melville et ses dépendances		propriété privée		Les façades et toitures du château, y compris le rez-de-chaussée voûté d'arêtes et l'escalier en bois 18e siècle ; les deux pavillons circulaires (façade, toiture et cheminée centrale) ; les façades et toitures des deux bâtiments de ferme encadrant la cour d'entrée (cad. ZD 12, 14 à 16) : inscription par arrêté du 25 avril 1990	1990/04/25 : inscrit MH	Caroillon Pierre (maître de l'oeuvre)	4e quart 18e siècle	
PA00079295	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Reynel	Champagne-Ardenne	52	Reynel	52420	Château de Reynel		Propriété d'une personne privée		Façades et toitures ; au rez-de-chaussée : salle à manger avec ses lambris 18s, salon avec ses lambris 18s donnant au sud sur la terrasse, ancienne cuisine, chambre à four ; au premier étage : grand salon ovale 18s avec son décor sculpté dans l'aile nord-est, bibliothèque avec ses lambris 18s, chambres avec leurs lambris 18s dans l'aile sud-est ; salles voûtées de la tour nord-ouest (cad. D 171) : inscription par arrêté du 21 novembre 1989	1989/11/21 : inscrit MH		16e siècle ; 3e quart 18e siècle ; 19e siècle	
PA00079294	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Langres	Champagne-Ardenne	52	Langres	52269	Hôtel de ville	Hôtel-de-Ville (place de l')	Propriété de la commune		Ensemble de la toiture couvrant le bâtiment ; vestibule d'entrée ; grand escalier ; salle du Conseil municipal (cad. BH 288) : inscription par arrêté du 21 novembre 1989 ; Façade du 18e siècle sur la place (cad. BH 288) : classement par arrêté du 4 juin 1993	1989/11/21 : inscrit MH ; 1993/06/04 : classé MH		18e siècle ; 19e siècle	
PA00079293	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Dancevoir	Champagne-Ardenne	52	Dancevoir	52165	Eglise		Propriété de la commune		Eglise (cad. AB 44) : inscription par arrêté du 9 mars 1990	1990/03/09 : inscrit MH		13e siècle	
PA00079292	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Colmier-le-Bas	Champagne-Ardenne	52	Colmier-le-Bas	52137	Villa gallo-romaine (vestiges)		Propriété d'une personne privée		Villa gallo-romaine (vestiges) (cad. ZH 29, 31, 33) : inscription par arrêté du 17 mai 1990	1990/05/17 : inscrit MH		Antiquité	
PA00079291	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Wassy	Champagne-Ardenne	52	Wassy	52550	Tour du Dôme		Propriété de la commune		Tour du Dôme : inscription par arrêté du 13 mars 1933	1933/03/13 : inscrit MH			
PA00079290	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Wassy	Champagne-Ardenne	52	Wassy	52550	Eglise Notre-Dame		Propriété de la commune		Eglise Notre-Dame : classement par liste de 1875	1875 : classé MH			
PA00079289	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Wassy	Champagne-Ardenne	52	Wassy	52550	Croix dite de la Périère				Croix dite de la Périère : classement par arrêté du 26 septembre 1903	1903/09/26 : classé MH		17e siècle	
PA00079288	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Vroncourt-la-Côte	Champagne-Ardenne	52	Vroncourt-la-Côte	52549	Eglise		Propriété de la commune		Portail : inscription par arrêté du 10 avril 1929	1929/04/10 : inscrit MH		12e siècle	
PA00079287	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Voisines	Champagne-Ardenne	52	Voisines	52545	Eglise		Propriété de la commune		Portail : inscription par arrêté du 30 octobre 1925	1925/10/30 : inscrit MH		16e siècle	
PA00079286	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Voisey	Champagne-Ardenne	52	Voisey	52544	Eglise Notre-Dame de la Nativité		Propriété de la commune		Eglise : classement par arrêté du 29 novembre 1943	1943/11/29 : classé MH		13e siècle	
PA00079285	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Voisey	Champagne-Ardenne	52	Voisey	52544	Croix du 16s en face de l'église de Vaux-la-Douce		Propriété de la commune		Croix du 16s : inscription par arrêté du 10 octobre 1927	1927/10/10 : inscrit MH			
PA00079284	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Voisey	Champagne-Ardenne	52	Voisey	52544	Croix Renaissance adossée à la façade de l'église		Propriété de la commune		Croix Renaissance : inscription par arrêté du 21 octobre 1925	1925/10/21 : inscrit MH		15e siècle	
PA00079283	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Voillecomte	Champagne-Ardenne	52	Voillecomte	52543	Eglise		Propriété de la commune		Tour : classement par arrêté du 26 décembre 1906	1906/12/26 : classé MH			
PA00079282	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Vivey	Champagne-Ardenne	52	Vivey	52542	Croix du 15s au chevet de l'église		Propriété de la commune		Croix du 15s : inscription par arrêté du 16 juin 1926	1926/06/16 : inscrit MH		15e siècle	
PA00079281	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Vitry-lès-Nogent	Champagne-Ardenne	52	Vitry-lès-Nogent	52541	Dolmen dit "Pierre-Alot" sis au bois de Lardigny		Propriété de la commune		Dolmen dit "Pierre-Alot" (cad. A 734) : classement par liste de 1889	1889 : classé MH		Néolithique récent ; Chalcolithique	
PA00079280	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Vitry-en-Montagne	Champagne-Ardenne	52	Vitry-en-Montagne	52540	Presbytère (ancien)		Propriété d'une personne privée		Presbytère (ancien) : inscription par arrêté du 3 octobre 1929	1929/10/03 : inscrit MH		18e siècle	
PA00079279	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Vitry-en-Montagne	Champagne-Ardenne	52	Vitry-en-Montagne	52540	Eglise		Propriété de la commune		Choeur, avec sa décoration : inscription par arrêté du 3 octobre 1929	1929/10/03 : inscrit MH			
PA00079278	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Villiers-le-Sec	Champagne-Ardenne	52	Villiers-le-Sec	52535	Eglise		Propriété de la commune		Choeur et mur décoré de peintures à fresque : inscription par arrêté du 13 février 1928	1928/02/13 : inscrit MH		13e siècle	
