REF	ETUD	LOCA	REG	DPT	COM	INSEE	TICO	ADRS	STAT	AFFE	PPRO	DPRO	AUTR	SCLE	
PA52000033	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Orges	Champagne-Ardenne	52	Orges	52365	Fleuristerie d'Orges	Fleuristerie (chemin de la) 4	propriété d'une société privée		Le moulin façades et toitures, sa roue, les mécanismes d' entraînement des machines, la turbine (cad. AE 97) : inscription par arrêté du 12 janvier 2012	2012/01/12 : inscrit MH		19e siècle	
PA51000022	recensement immeubles MH	Champagne-Ardenne ; Marne ; Montmirail	Champagne-Ardenne	51	Montmirail	51380	Colonne commémorative		propriété de l'Etat	affecté au ministère chargé de la culture	La colonne commémorative (cad. YA12, lieudit les Corvées) : inscription par arrêté du 31 décembre 2012	2012/12/31 : inscrit MH	Morsaline (architecte)	3e quart 19e siècle	
PA51000021	recensement immeubles MH	Champagne-Ardenne ; Marne ; Épernay	Champagne-Ardenne	51	Épernay	51230	Ancien établissement de viticulture de la maison Moët-et-Chandon, dit " Le Fort Chabrol "	Mardeuil (avenue de) 1	propriété d'une société privée		L' ancien établissement, y compris ses éléments utilitaires et décoratifs, fixés aux murs, tels que les appliques du vestibule d' entrée, les bras de lumière de la salle de greffage, les lampadaires de l' entrée, ainsi que les gradins en métal de la serre et l' aménagement du laboratoire d' oenologie (cad. BZ 29) : inscription par arrêté du 6 décembre 2012	2012/12/06 : inscrit MH	Piquart Henri (architecte)	limite 19e siècle 20e siècle	
PA51000020	recensement immeubles MH	Champagne-Ardenne ; Marne ; Châtillon-sur-Marne	Champagne-Ardenne	51	Châtillon-sur-Marne	51136	Bâtiment de l'ancien tribunal du bailliage	Hôtel-de-Ville (rue de l') 4	propriété de la commune		L' escalier 17e siècle et sa cage, ainsi que le palier et ses deux portes recto-verso, y compris leur décor, la cheminée de la grande pièce du premier étage et sa taque avec la pièce qui les reçoit, cette pièce comprenant également le revers de la porte palière de l' escalier (cad. AL 909) : inscription par arrêté du 6 décembre 2012	2012/12/06 : inscrit MH		2e moitié 17e siècle	
PA51000019	recensement immeubles MH	Champagne-Ardenne ; Marne ; Epernay	Champagne-Ardenne	51	Epernay	51230	Château Perrier	Champagne (avenue de) 13	propriété de la commune		Les façades et toitures des deux pavillons de part et d' autre de l' entrée, la grille et son mur de soutènement, le pavement de la cour, la statue du veneur et son socle, le logis en totalité, y compris la grande cave (cad. AI 105) : inscription par arrêté du 26 juin 2012	2012/06/26 : inscrit MH	Cordier Eugène (architecte)	3e quart 19e siècle	
PA51000018	recensement immeubles MH	Champagne-Ardenne ; Marne ; Epernay	Champagne-Ardenne	51	Epernay	51230	Hôtel de Ville, ancien hôtel Auban-Moët	Champagne (avenue de) 7	propriété de la commune		Façades et toitures, décor intérieur du rez-de-chaussée, escalier et cage d' escalier avec ses vitraux, vestibule de l' étage avec son puits de lumière, façades et toitures des communs et du petit pavillon sur la rue Jean-Moët, ensemble du parc avec tous ses aménagements, mur de clôture et monument aux morts (cad. BI 520) : inscription par arrêté du 26 juin 2012	2012/06/26 : inscrit MH		milieu 19e siècle	
PA08000015	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Revin	Champagne-Ardenne	08	Revin	08363	Cité ouvrière Biard, dite cité Paris-Campagne	Paris-Campagne (cité) 1 à 24	propriété d'une société privée		Façades et toitures (cad. AS 333 à 341, 345 à 356, 460, 462, 464) : inscription par arrêté du 31 décembre 2012	2012/12/31 : inscrit MH		1ère moitié 20e siècle	
PA08000014	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Charleville-Mézières	Champagne-Ardenne	08	Charleville-Mézières	08105	Ancienne usine métallurgique " La Macérienne "	Louis-Tirman (avenue) 10	propriété de la commune		La totalité du grand atelier à étages, du bâtiment accolé des turbines, du bâtiment de nickelage au centre de la cour, du bâtiment de stockage à l' ouest de la cour, les façades et toitures de la maison du concierge sur la rue et des bâtiments des bureaux, l' entrée sur la rue (cad. CE 584) : inscription par arrêté du 31 décembre 2012	2012/12/31 : inscrit MH	Dardenne (architecte)	4e quart 19e siècle ; 1er quart 20e siècle	
PA52000032	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Chalindrey	Champagne-Ardenne	52	Chalindrey	52093	Fort Vercingétorix de Cognelot		propriété de la commune		Le fort (cad. E 992) : inscription par arrêté du 7 janvier 2011	2011/01/07 : inscrit MH	Séré de Rivières (ingénieur)	2e moitié 19e siècle	
PA51000017	recensement immeubles MH	Champagne-Ardenne ; Marne ; Etrepy	Champagne-Ardenne	51	Etrepy	51240	Château d'Etrepy	Grande-Rue () 29B	propriété d'une personne privée		Les façades et toitures du château (corps principal et pavillons), sa parcelle d' implantation (cad AE 184), le portail d' entrée avec ses lions, les maçonneries des courtines, l' escalier ouest et les deux sphinges le gardant, les douves et le pont d' accès, ainsi que le décor intérieur du grand salon (cad. AE 184, 140) : inscription par arrêté du 28 novembre 2011	2011/11/28 : inscrit MH		1ère moitié 17e siècle	
PA10000031	recensement immeubles MH	Champagne-Ardenne ; Aube ; Pargues	Champagne-Ardenne	10	Pargues	10278	Eolienne de Pargues	Orme (rue de l') 3bis	propriété de la commune		L' éolienne, avec son château d' eau et son lavoir (cad. A 380) : inscription par arrêté du 28 novembre 2011	2011/11/28 : inscrit MH		1er quart 20e siècle	
PA10000030	recensement immeubles MH	Champagne-Ardenne ; Aube ; Polisy	Champagne-Ardenne	10	Polisy	10296	Château de Polisy		propriété privée		L' ancienne basse-cour du château : l' aile d' entrée en totalité comprenant notamment l' auditoire, l' ancien passage d' entrée avec la pièce à l' ouest et sa cheminée, la laiterie y compris le puits, le cellier et son entrée ; le bâtiment du 19e siècle avec trois portes cochères dont celle du centre est surmontée d' un édicule avec une serlienne ; le logis du fermier ; l' ancienne chapelle seigneuriale avec son décor Renaissance et son enfeu (cad. B 1109, 1142, 1143, 1147) : inscription par arrêté du 10 mars 2011 - Le château (cad. B 1444) : inscription par arrêté du 28 novembre 2011	2011/11/28 : inscrit MH ; 2011/03/10 : inscrit MH		milieu 16e siècle	
PA10000029	recensement immeubles MH	Champagne-Ardenne ; Aube ; Nogent-sur-Seine	Champagne-Ardenne	10	Nogent-sur-Seine	10268	Monument aux morts	Armes (place d')	propriété de la commune		Le monument aux morts (cad. non cadastré) : inscription par arrêté du 9 mai 2011	2011/05/09 : inscrit MH	Boucher Alfred (sculpteur)	1er quart 20e siècle	
PA08000013	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Fossé	Champagne-Ardenne	08	Fossé	08176	Eglise Saint-Nicolas de Fossé		propriété de la commune		L' église (cad. AB 109) : inscription par arrêté du 28 novembre 2011	2011/11/28 : inscrit MH	Szekely Pierre (sculpteur) ; Szekely Véra (céramiste) ; Borderie André (peintre)	2e moitié 16e siècle ; 3e quart 20e siècle	
PA52000031	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Joinville	Champagne-Ardenne	52	Joinville	52250	Maison	Auditoire (rue de l') 14	propriété d'une personne privée		L'aile 16e siècle de plan rectangulaire, située entre la rue de l'Auditoire et la rue Saunoise, et l'aile 18e siècle en retour d'équerre vers le sud (rue des Cloutiers) : en totalité (y compris le décor intérieur) , ainsi que le portail sur la rue de l'Auditoire et le mur de clôture de la petite cour (rue de l'Auditoire et rue des Cloutiers) (cad. AB 117) : inscription par arrêté du 25 mai 2010	2010/05/25 : inscrit MH		16e siècle ; 1ère moitié 18e siècle	
PA52000030	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Enfonvelle	Champagne-Ardenne	52	Enfonvelle	52185	Ancienne maison seigneuriale d'Enfonvelle	Principale (rue) 14	propriété d'une personne privée		Les façades et toitures (cad. AB 128) : inscription par arrêté du 17 février 2010	2010/02/17 : inscrit MH		1er quart 18e siècle	
PA52000029	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Cirey-lès-Mareilles	Champagne-Ardenne	52	Cirey-lès-Mareilles	52128	Eglise de l'ancien village de Morteau		propriété d'une personne privée		L'église en totalité, y compris le logis de l'ermite (cad. K 38) : inscription par arrêté du 17 février 2010	2010/02/17 : inscrit MH		12e siècle	
PA52000028	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Cirey-lès-Mareilles	Champagne-Ardenne	52	Cirey-lès-Mareilles	52128	Château de Morteau		propriété d'une personne privée		Le château (cad. K 33) et son pigeonnier (cad. K 32) , en totalité : classement par arrêté du 26 octobre 2010	2010/10/26 : classé MH		4e quart 16e siècle	
PA10000028	recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Maison de la congrégation des Soeurs de la Providence	Terrasses (rue des) 21	propriété privée		Le logis du 18e siècle en totalité (cad. CH 500) : inscription par arrêté du 6 septembre 2010	2010/09/06 : inscrit MH		2e quart 18e siècle	
PA10000027	recensement immeubles MH	Champagne-Ardenne ; Aube ; Fontaine-les-Grès	Champagne-Ardenne	10	Fontaine-les-Grès	10151	Eglise Sainte-Agnès		propriété de la commune		L'église, y compris son parvis, ses murs de soutènement et ses rampes d'accès (cad. AE 43, 44) : inscription par arrêté du 31 mai 2010	2010/05/31 : inscrit MH		3e quart 20e siècle	
PA10000026	recensement immeubles MH	Champagne-Ardenne ; Aube ; Champignol-lez-Mondeville	Champagne-Ardenne	10	Champignol-lez-Mondeville	10076	Ancienne maison seigneuriale	Mairie (place de la) 3	propriété d'une personne privée		La tour en totalité (cad. G 857) : inscription par arrêté du 26 avril 2010	2010/04/26 : inscrit MH		13e siècle	
PA08000012	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Gruyères	Champagne-Ardenne	08	Gruyères	08201	Château de Gruyères		propriété d'une personne privée		Façades et toitures du château, ainsi que les parcelles AB 45 et 46 avec leurs aménagements : inscription par arrêté du 26 avril 2010	2010/04/26 : inscrit MH		4e quart 16e siècle ; 18e siècle ; 2e quart 19e siècle	
PA51000015	recensement immeubles MH	Champagne-Ardenne ; Marne ; Gueux	Champagne-Ardenne	51	Gueux	51282	Circuit automobile de Gueux		propriété de la commune		Installations du circuit automobile : les tribunes couvertes Benoist, Wimille, Sommer et la tribune de presse avec leurs loges le long de la piste ; les tribunes découvertes dans le prolongement de la tribune Benoist avec leurs bancs en béton ; le pavillon de chronométrage Lambert ; les stands avec le pavillon central ; le passage souterrain ; le panneau métallique d'affichage ; le support du réservoir de distribution d'essence (cad. ZM 36, 126) : inscription par arrêté du 7 mai 2009	2009/05/07 : inscrit MH		2e quart 20e siècle ; 3e quart 20e siècle	
PA10000025	recensement immeubles MH	Champagne-Ardenne ; Aube ; Isle-Aubigny	Champagne-Ardenne	10	Isle-Aubigny	10174	Eglise Saint-Martin d'Isle		propriété de la commune		L'église (cad. D 226) : inscription par arrêté du 18 février 2009	2009/02/18 : inscrit MH		13e siècle ; 16e siècle	
PA52000026	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Eclaron-Braucourt-Sainte-Livière	Champagne-Ardenne	52	Eclaron-Braucourt-Sainte-Livière	52182	Parc de la maison de M. de Torcy	Ponthon (rue de) 21	propriété d'une personne privée		Le parc de la maison défini par la parcelle AH 177 : inscription par arrêté du 7 juillet 2006	2006/07/07 : inscrit MH	Arbeaumont Gabriel (architecte paysagiste)	2e moitié 19e siècle	
PA51000013	recensement immeubles MH	Champagne-Ardenne ; Marne ; Sainte-Menehould	Champagne-Ardenne	51	Sainte-Menehould	51507	Ancienne faïencerie des Islettes	Bois d'Epense Vignettes (chemin du)	propriété d'une personne privée		Les façades et toitures de la maison du faïencier, ainsi que les parcelles BH 109 à 115 : inscription par arrêté du 21 juillet 2006	2006/07/21 : inscrit MH		2e moitié 18e siècle	
PA10000023	recensement immeubles MH	Champagne-Ardenne ; Aube ; Nogent-en-Othe	Champagne-Ardenne	10	Nogent-en-Othe	10266	Eglise de la Nativité de la Vierge		propriété de la commune		L'église (cad. ZD 103) : inscription par arrêté du 26 décembre 2006	2006/12/26 : inscrit MH		16e siècle	
PA10000022	recensement immeubles MH	Champagne-Ardenne ; Aube ; Laubressel	Champagne-Ardenne	10	Laubressel	10190	Eglise Notre-Dame de l'Assomption		propriété de la commune		L'église (cad. E 1077) : inscription par arrêté du 10 janvier 2006	2006/01/10 : inscrit MH		16e siècle	
PA08000011	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Givet	Champagne-Ardenne	08	Givet	08190	Ancien couvent des Récollets	Récollets (rue des) ; Clemenceau (rue) ; Jean-Jaurès (place) ; Calmette (rue) 2, 4, 6, 8	propriété de la commune ; propriété privée		La chapelle en totalité ; les façades et toitures des quatre ailes entourant le cloître (cad. BC 479 à 483, 663) : inscription par arrêté du 7 juillet 2006	2006/07/07 : inscrit MH		4e quart 17e siècle	
PA08000010	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Bayonville	Champagne-Ardenne	08	Bayonville	08052	Château de Landreville		propriété d'une personne privée		Le bâtiment avec ses quatre tours et ses douves (cad. ZH 12, 13) : classement par arrêté du 12 août 2006	2006/08/01 : classé MH		2e moitié 16e siècle	
PA52000027	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Saint-Dizier	Champagne-Ardenne	52	Saint-Dizier	52448	Théâtre municipal	Aristide-Briand (place)	propriété de la commune		Le théâtre en totalité (cad. BT 69) : inscription par arrêté du 30 octobre 2007	2007/10/30 : inscrit MH	Fisbacq Hubert-Nicolas (architecte) ; Ferrant Emile (architecte)	19e siècle ; 1er quart 20e siècle	
PA51000014	recensement immeubles MH	Champagne-Ardenne ; Marne ; Châlons-en-Champagne	Champagne-Ardenne	51	Châlons-en-Champagne	51108	Ancienne maison Royer et Granthille	Abbé-Lambert (rue de l') 2 ; Orfeuil (rue d') 6 ; Saint-Alpin (rue) 3	propriété d'une société privée		Façades et toitures du bâtiment y compris la maison du gardien, le mur de clôture et ses grilles, les deux jardins d'hiver (n° 4 et 5) , l'escalier du 18e siècle (n° 1) et le décor des pièces suivantes : au rez-de-chaussée le fumoir (n° 2) , la grande salle à manger (n° 3) , à l'étage, salon (n° 6) et boudoir (n° 7) , boudoir mauresque (n° 8) , chambre lambrissée (n° 9) et ancien cabinet avec son vitrail (n° 10) (cf plan annexé à l'arrêté) (cad. BE 524, 525) : inscription par arrêté du 4 décembre 2007	2007/12/04 : inscrit MH		18e siècle ; 2e moitié 19e siècle	
PA10000024	recensement immeubles MH	Champagne-Ardenne ; Aube ; Sainte-Savine	Champagne-Ardenne	10	Sainte-Savine	10362	Ancien hôtel de ville	Général-Gallieni (avenue du) 70	propriété de la commune		L'ancien hôtel de ville (cad. AD 999) : inscription par arrêté du 30 octobre 2007	2007/10/30 : inscrit MH		2e quart 20e siècle	
PA52000025	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Montier-en-Der	Champagne-Ardenne	52	Montier-en-Der	52331	Propriété Japiot	Isle (rue de l') 35	propriété d'une société privée		Jardin de la propriété, y compris le mur de soutènement le long de la Voire, les deux ponts métalliques, le pavillon néo-18e siècle dit "le temple de l'Aurore", les façades et toitures du pavillon 19e siècle et de l'orangerie et l'ancien potager avec son pavillon rustique (cad. AL 4, 60) : inscription par arrêté du 31 août 2005	2005/08/31 : inscrit MH		19e siècle	
PA10000021	recensement immeubles MH	Champagne-Ardenne ; Aube ; Bucey-en-Othe	Champagne-Ardenne	10	Bucey-en-Othe	10066	Château de Bucey-en-Othe	Chaillotat (rue du)	propriété d'une société privée		Les façades et les toitures des bâtiments (logis et bâtiments de communs entourant la cour) , ainsi que le fossé avec son arrivée d'eau (cad. D 3, 233) : inscription par arrêté du 12 janvier 2005	2005/01/12 : inscrit MH		4e quart 16e siècle	
PA52000024	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Val-de-Meuse	Champagne-Ardenne	52	Val-de-Meuse	52332	Eglise Saint-Vinebaud d'Avrecourt		propriété de la commune		L'église (cad. 033B 446) : inscription par arrêté du 26 juillet 2004	2004/07/26 : inscrit MH	Delaneuve (architecte) ; Jourdheil, dit : Télémaque (peintre)	milieu 19e siècle	
PA52000023	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Colombey-les-Deux-Eglises	Champagne-Ardenne	52	Colombey-les-Deux-Eglises	52140	Maison dite "la Boisserie"	Général-de-Gaulle (rue du) 1	propriété d'une personne privée		La maison et son parc, y compris la clôture sur rue (cad. AH 73b et z) : inscription par arrêté du 6 septembre 2004	2004/09/06 : inscrit MH	Bourdelle (sculpteur)	1ère moitié 19e siècle	
PA52000022	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Belmont	Champagne-Ardenne	52	Belmont	52043	Ancienne abbaye de Belmont	Abbaye (rue de l')	propriété d'une personne privée		L'ancien bâtiment des hôtes : façades et toitures, y compris les planchers ; l'avant-cour située au nord de la façade principale et le pigeonnier (cad. AB 113, 297) : inscription par arrêté du 26 juillet 2004	2004/07/26 : inscrit MH	Girard (architecte) ; Fayl-Billot (architecte)	milieu 18e siècle	
PA52000021	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Autreville-sur-la-Renne	Champagne-Ardenne	52	Autreville-sur-la-Renne	52031	Château	Pompadour (rue de la) 5	propriété privée		Les bâtiments entourant la cour d'honneur (logis et remises) en totalité, la clôture de la cour sur la rue avec sa grille, les façades et les toitures des bâtiments de la cour nord, le parc (cad. ZH 179 ; ZR 14) : inscription par arrêté du 26 juillet 2004	2004/07/26 : inscrit MH	Bouchardon Jean-Bapstiste (architecte)	2e quart 18e siècle	
PA51000012	recensement immeubles MH	Champagne-Ardenne ; Marne ; Reims	Champagne-Ardenne	51	Reims	51454	Parc dit "de Champagne", à l'origine "Parc Pommery"	Général-Giraud (avenue du) 1	propriété d'une société privée		Le parc en totalité (cad. DI 1) : inscription par arrêté du 6 septembre 2004	2004/09/06 : inscrit MH	Redont Edouard (architecte paysagiste)	1er quart 20e siècle	
PA52000020	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Châteauvillain	Champagne-Ardenne	52	Châteauvillain	52114	Maison	Duc-de-Vitry (rue du) 21	propriété d'une personne privée		Bâtiment d'habitation en totalité avec son aile en retour sur la cour arrière ; façades et toitures pour les autres bâtiments de communs ; les trois caves sous les communs ; le jardin et ses aménagements, ainsi que le mur de clôture (cad. AC 104, 502, 504) : inscription par arrêté du 5 novembre 2003	2003/11/05 : inscrit MH		1ère moitié 17e siècle	
PA51000011	recensement immeubles MH	Champagne-Ardenne ; Marne ; Montmirail	Champagne-Ardenne	51	Montmirail	51380	Château de l'Echelle-le-Franc		propriété d'une personne privée		Le corps de logis (façades et toitures) , le colombier, la grange nord y compris l'ancien manège (cad. AH 5) : inscription par arrêté du 5 novembre 2003	2003/11/05 : inscrit MH		1ère moitié 16e siècle ; 19e siècle	
PA51000010	recensement immeubles MH	Champagne-Ardenne ; Marne ; Mareuil-sur-Ay	Champagne-Ardenne	51	Mareuil-sur-Ay	51347	Château de Mareuil-sur-Ay	Carnot (rue) 1, 3, 10 ; Corbier (rue) 8	propriété d'une société privée		Le corps de logis 18e siècle en totalité, le parc avec ses aménagements y compris les souterrains et la glacière, la clôture avec sa grille, les façades et les toitures des deux grands bâtiments des communs et des deux pavillons d'entrée vers la cour du château, la tour d'accueil des clients en totalité, ainsi que les deux potagers avec leur enceinte et leur orangerie (cad. F 1823 - château et communs, 1822 - premier potager, 526 - deuxième potager) : inscription par arrêté du 5 novembre 2003	2003/11/05 : inscrit MH	Chevotet (architecte) ; Redon Edouard (architecte paysagiste)	18e siècle	
PA51000009	recensement immeubles MH	Champagne-Ardenne ; Marne ; Ambonnay	Champagne-Ardenne	51	Ambonnay	51007	Fontaine publique	Fontaine (place de la)	propriété de la commune		La fontaine (cad. non cadastré, à la rencontre des routes de Bouzy et de Trépail) : inscription par arrêté du 5 novembre 2003	2003/11/05 : inscrit MH	Tortrat fils (architecte)	milieu 19e siècle	
PA10000020	recensement immeubles MH	Champagne-Ardenne ; Aube ; Fuligny	Champagne-Ardenne	10	Fuligny	10163	Ancien château de Fuligny		propriété privée		Le colombier (cad. C 138) et le portail d'entrée avec ses trophées (cad. ZC 29) : inscription par arrêté du 26 novembre 2003	2003/11/26 : inscrit MH		18e siècle	
PA10000019	recensement immeubles MH	Champagne-Ardenne ; Aube ; Juvanzé	Champagne-Ardenne	10	Juvanzé	10183	Eglise Saint-Gengoult		propriété de la commune		L'église (cad. AB 31) : inscription par arrêté du 9 janvier 2003	2003/01/09 : inscrit MH		2e moitié 12e siècle ; 18e siècle	
PA08000009	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Maisoncelle-et-Villers	Champagne-Ardenne	08	Maisoncelle-et-Villers	08268	Maison forte de la Raminoise		propriété d'une personne privée		Le pavillon d'angle et les deux ailes accolées, face est et face sud, en totalité (cad. E 48) : inscription par arrêté du 20 janvier 2003	2003/01/20 : inscrit MH		2e moitié 16e siècle	
PA52000019	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Langres	Champagne-Ardenne	52	Langres	52269	Maison dite "Hôtel Piétrequin"	Croisette (rue de la) 10	propriété d'une société privée		La maison en totalité (cad. BD 92) : inscription par arrêté du 26 décembre 2002	2002/12/26 : inscrit MH		limite 16e siècle 17e siècle	
PA51000008	recensement immeubles MH	Champagne-Ardenne ; Marne ; Bignicourt-sur-Saulx	Champagne-Ardenne	51	Bignicourt-sur-Saulx	51060	Château		propriété privée		Le château : le bâtiment principal en totalité, les deux pavillons (pigeonnier et four à pains) en totalité, la chapelle en totalité (cad. AB 194, 197) : classement par arrêté du 18 octobre 2005 - Le parc du château (cad. AB 1 à 4, 78, 83, 85, 190, 192 à 197) : inscription par arrêté du 18 octobre 2005	2005/10/18 : classé MH ; 2005/10/18 : inscrit MH		1ère moitié 19e siècle	
PA08000008	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Marcq	Champagne-Ardenne	08	Marcq	08274	Château de Marcq dit "château Mercier"		propriété d'une société privée		Le corps de logis en totalité ; le passage entre cour et jardin au nord du logis ; le passage avec porte charretière et porte piétonne, au centre de l'aile d'entrée ; le mur de clôture au sud, est et nord entourant le jardin (cad. AB 66, 67) : inscription par arrêté du 25 février 2002	2002/02/25 : inscrit MH	Marks Albert (peintre)	18e siècle	
PA52000018	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Eurville-Bienville	Champagne-Ardenne	52	Eurville-Bienville	52194	Château de Bienville		propriété privée		Les façades et toitures du château, des communs, des dépendances et de la maison du jardinier ; le parc, y compris son mur de clôture ; le jardin potager, en totalité (cad. D 228, 230, 231, 424, 425, 1250, 1482, 1483, 1485, 1487) : inscription par arrêté du 26 décembre 2001	2001/12/26 : inscrit MH		milieu 18e siècle ; 1ère moitié 19e siècle	
PA52000017	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Juzennecourt	Champagne-Ardenne	52	Juzennecourt	52253	Château de Juzennecourt		propriété privée		Logis, dépendances, parc (cad. C 43 à 53) : inscription par arrêté du 14 septembre 2001	2001/09/14 : inscrit MH	BOUCHARDON Jean-Baptiste (architecte)	1er quart 18e siècle	
PA51000007	recensement immeubles MH	Champagne-Ardenne ; Marne ; Reims	Champagne-Ardenne	51	Reims	51454	Piscine du Tennis-Club	Lagrive (rue) 15	propriété d'une association		Piscine en totalité, pergola, bancs, jardinières, sols, murets et murs qui la bordent (cad. CK 62) : inscription par arrêté du 25 janvier 2001	2001/01/25 : inscrit MH	RAPIN Jacques (architecte) ; HENNEBIQUE (entrepreneur) ; RAPIN Henri (décorateur)	1er quart 20e siècle	
PA10000018	recensement immeubles MH	Champagne-Ardenne ; Aube ; Arconville	Champagne-Ardenne	10	Arconville	10007	Ancienne grange de Fraville		propriété privée		La chapelle, le porche couvert, le corps de logis, la grange sud-ouest, le mur d'enceinte et le sol (cad. B 532 à 535) : inscription par arrêté du 26 décembre 2001	2001/12/26 : inscrit MH		13e siècle ; 16e siècle ; 17e siècle	
PA10000017	recensement immeubles MH	Champagne-Ardenne ; Aube ; Proverville	Champagne-Ardenne	10	Proverville	10306	Eglise de l'Assomption de la Vierge		propriété de la commune		Eglise en totalité (cad. C 165) : inscription par arrêté du 30 novembre 2001	2001/11/30 : inscrit MH	BIENNOURY (peintre) ; ERDMANN (maître verrier) ; KREMER (maître verrier)	2e moitié 12e siècle ; 16e siècle	
PA10000016	recensement immeubles MH	Champagne-Ardenne ; Aube ; Montiéramey	Champagne-Ardenne	10	Montiéramey	10249	Ancienne abbaye		propriété privée		Les façades et toitures de l'aile sud du cloître, l'ancien logis abbatial, le colombier, la grange, les anciennes latrines et le sol de l'ancienne abbaye (cad. AD 103, 108, 113, 110) : inscription par arrêté du 12 novembre 2001	2001/11/12 : inscrit MH		17e siècle ; 18e siècle	
PA10000015	recensement immeubles MH	Champagne-Ardenne ; Aube ; Champignol-lez-Mondeville	Champagne-Ardenne	10	Champignol-lez-Mondeville	10076	Ancienne grange de Sermoise		propriété privée		Les bâtiments construits sur plan carré, l'ancienne bergerie-étable et l'édicule abritant une source (cad. ZB 3, 16) : inscription par arrêté du 12 novembre 2001	2001/11/12 : inscrit MH		13e siècle	
PA10000014	recensement immeubles MH	Champagne-Ardenne ; Aube ; Fresnoy-le-Château	Champagne-Ardenne	10	Fresnoy-le-Château	10162	Château du Plessis		propriété privée		Logis, bâtiment de communs au sud du logis, orangerie, pont, douves, mur et grilles d'entrée, pigeonnier, ensemble du parc avec ses aménagements (cad. E 285 à 292, 294, 295, 301, 389 à 397, 399, 400) : inscription par arrêté du 8 octobre 2001	2001/10/08 : inscrit MH	DUFOUR (architecte paysagiste)	1ère moitié 19e siècle	
PA08000007	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Charleville-Mézières	Champagne-Ardenne	08	Charleville-Mézières	08105	Maison	Béthune (boulevard de) 26 ; Savart (rue) 6	propriété privée		Façades et toitures de la maison (à l'exception de l'extension réalisée en 1998 contre la façade sud) avec leur décor ; clôture sur rue ; vestibule d'entrée et cage d'escalier avec leur décor (cad. CV 212) : inscription par arrêté du 30 novembre 2001	2001/11/30 : inscrit MH	MOLINARI Vitale (maître maçon)	19e siècle ; 1ère moitié 20e siècle	
PA08000006	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Arnicourt	Champagne-Ardenne	08	Arnicourt	08021	Château d'Arnicourt		propriété privée		Les façades et les toitures du corps de logis et des communs entourant la cour d'entrée ; les douves anciennes (cad. AB 106) : inscription par arrêté du 12 avril 2001	2001/04/12 : inscrit MH		18e siècle	
PA52000015	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Langres	Champagne-Ardenne	52	Langres	52269	Maison	Verdun (place de) 43	propriété privée		Plafond à poutres et solives peintes (cad. BC 22) : inscription par arrêté du 29 août 2000	2000/08/29 : inscrit MH		1ère moitié 17e siècle	
PA52000014	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Doulevant-le-Château	Champagne-Ardenne	52	Doulevant-le-Château	52178	Eglise Saint-Louvent		propriété de la commune		Eglise (cad. AB 62) : inscription par arrêté du 29 août 2000	2000/08/29 : inscrit MH	COUVREUX (architecte)	1ère moitié 16e siècle ; 1ère moitié 17e siècle ; 2e moitié 19e siècle	
PA51000006	recensement immeubles MH	Champagne-Ardenne ; Marne ; Sept-Saulx	Champagne-Ardenne	51	Sept-Saulx	51530	Château de Sept-Saulx		propriété privée		Château, en totalité, et son parc, dans sa partie ordonnancée définie par le cours de la Vesle au sud (avec son pont en ciment limitant le bois) et la voie de chemin de fer au nord (cad. AB 11 à 17) : inscription par arrêté du 8 novembre 2000	2000/11/08 : inscrit MH	SUE Louis (architecte) ; FORESTIER Jean-Claude-Nicolas (architecte paysagiste)	2e quart 20e siècle	
